Sno,Date,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Cumulative No.of Persons Under Home Isolation,Cumulative No.of Persons Hospitalized,Samples Tested Till Date,Tested Negative Till Date
1,31-01-2020,1,0,0,0,1421,50,0,0
2,01-02-2020,2,0,0,0,1723,70,39,23
3,02-02-2020,3,0,0,0,1924,75,104,36
4,03-02-2020,3,0,0,0,2155,84,140,46
5,04-02-2020,3,0,0,0,2321,100,190,100
6,05-02-2020,3,0,0,0,2435,93,223,193
7,06-02-2020,3,0,0,0,2743,83,263,229
8,07-02-2020,3,0,0,0,2953,61,285,261
9,08-02-2020,3,0,0,0,3099,45,330,288
10,09-02-2020,3,0,0,0,3218,34,345,326
11,10-02-2020,3,0,0,0,3336,31,364,337
12,11-02-2020,3,0,0,0,3420,27,380,344
13,12-02-2020,3,0,0,0,2431,24,389,354
14,13-02-2020,3,0,0,0,2375,22,402,363
15,14-02-2020,3,0,0,0,2272,16,408,379
16,15-02-2020,3,0,0,0,2194,16,415,396
17,16-02-2020,3,0,0,0,2262,14,418,405
18,17-02-2020,3,0,0,0,2233,13,423,406
19,18-02-2020,3,0,0,0,2209,13,425,420
20,19-02-2020,3,0,0,0,2234,8,432,423
21,20-02-2020,3,0,0,0,907,7,433,423
22,21-02-2020,3,0,0,0,706,5,437,426
23,22-02-2020,3,0,0,0,137,5,441,436
24,23-02-2020,3,0,0,0,122,5,444,436
25,24-02-2020,3,0,0,0,128,7,449,441
26,25-02-2020,3,0,0,0,118,8,451,446
27,26-02-2020,3,0,0,0,130,2,460,451
28,27-02-2020,3,0,0,0,128,7,462,451
29,28-02-2020,3,0,0,0,128,8,471,463
30,29-02-2020,3,0,0,0,181,10,485,471
31,01-03-2020,3,0,0,0,193,13,488,471
32,02-03-2020,3,0,0,0,276,17,504,493
33,03-03-2020,3,0,3,0,388,23,520,494
34,04-03-2020,3,0,3,0,438,31,552,511
35,05-03-2020,3,0,3,0,508,39,574,535
36,06-03-2020,3,0,3,0,546,46,631,579
37,07-03-2020,3,0,3,0,574,63,682,616
38,08-03-2020,8,0,3,0,648,84,729,664
39,09-03-2020,9,0,3,0,967,149,807,717
40,10-03-2020,15,0,3,0,1236,259,980,815
41,11-03-2020,17,0,3,0,3020,293,1179,889
42,12-03-2020,17,0,3,0,3910,270,1377,953
43,13-03-2020,19,0,3,0,5191,277,1715,1132
44,14-03-2020,19,0,3,0,7375,302,1897,1345
45,15-03-2020,22,0,3,0,10655,289,2147,1514
46,16-03-2020,23,0,3,0,12470,270,2297,1693
47,17-03-2020,24,2,3,0,17743,268,2467,1807
48,18-03-2020,25,2,3,0,25366,237,2550,2140
49,19-03-2020,26,2,3,0,30936,237,2921,2342
50,20-03-2020,33,7,3,0,44390,225,3436,2393
51,21-03-2020,45,7,3,0,52785,228,3716,2566
52,22-03-2020,60,7,3,0,58981,314,4035,2744
53,23-03-2020,87,8,4,0,64937,383,4291,2987
54,24-03-2020,101,8,4,0,71994,466,4516,3331
55,25-03-2020,110,8,6,0,76010,532,4902,3465
56,26-03-2020,129,8,11,0,101402,601,5342,3768
57,27-03-2020,168,8,12,0,109683,616,5679,4448
58,28-03-2020,174,8,16,1,133750,620,6067,5276
59,29-03-2020,187,15,20,1,140618,593,6690,5518
